repo,verdict,reason,capability,install_cmd,license,risk_level,risk_note,category,evidence,checked_at
Small-tailqwq/dsh-deepcel,verified_plugin,Public source with a native dsh plugin --profile web add command; identifiable DSH Web GUI skin (wiring id ui-skin-deepcel) and explicit license.,Deepcel skin: restyles the DSH Web GUI (sessions/tools/settings/navigation) as interactive Excel-like worksheet cells.,dsh plugin --profile web add ../dsh-deepcel/deepcel,BSD-3-Clause,low,Pure UI skin (wiring id ui-skin-deepcel); no data or permission access.,web_ui,README (HEAD): dsh plugin --profile web add ../dsh-deepcel/deepcel (local-path install after clone) + BSD-3-Clause license; package.json not fetched (package lives in deepcel/ subdirectory).,2026-08-14
THU-MAIC/dsh-openmaic,verified_plugin,Public source with native dsh plugin --profile web add command; registers 4 tools + Socratic teaching skill; dsh.bundle.patch + dsh.client declared in package.json.,"OpenMAIC plugin: registers openmaic_generate/slide/widget/render tools (classroom generation, slides, interactive widgets, sandboxed cards) + Socratic openmaic-teach skill.",dsh plugin --profile web add git+https://github.com/THU-MAIC/dsh-openmaic.git,MIT,medium,Network calls to open.maic.chat API (generate + poll) and renders sandboxed HTML cards in conversation; optional accessCode config.,automation,"README (HEAD): dsh plugin --profile web add git+https://github.com/THU-MAIC/dsh-openmaic.git; package.json (HEAD): dsh.bundle.patch -> ./cordis.patch.yml, dsh.client (web), dshx.contributtes tools/skills.",2026-08-14
vlln/dsh-navbar,verified_plugin,"Public source with native dsh plugin --profile web add command (official bundle plugin, dsh.bundle + client channel, 0 patch).",Conversation node navigation bar: right-edge node strip for fast jump to user messages with hover preview and click scroll.,"dsh plugin --profile web add ""github:vlln/dsh-navbar#main""",MIT,low,"Pure browser-side UI driven by official anchor attribute contract; no polling, routes, tools, or data channel.",web_ui,"README (HEAD): dsh plugin --profile web add ""github:vlln/dsh-navbar#main""; package.json (HEAD): dsh.bundle.patch -> ./cordis.patch.yml + dsh.client (web).",2026-08-14
vlln/dsh-task-status,verified_plugin,"Public source with native dsh plugin --profile web add command (official bundle plugin, dsh.bundle + client channel).","Background task status bar: dock-slot UI above the composer showing running-task count, expandable details, and live output tail.","dsh plugin --profile web add ""github:vlln/dsh-task-status#main""",MIT,low,"Local read-only routes (/tasks, /output) tail task output (may contain task-sensitive content); stays within the local web host.",web_ui,"README (HEAD): dsh plugin --profile web add ""github:vlln/dsh-task-status#main""; package.json (HEAD): dsh.bundle.patch -> ./cordis.patch.yml + dsh.client (web).",2026-08-14
wangshunnn/oh-my-dsh,watchlist,DSH-related but not a loadable plugin — a curated DSH community plugin index/registry (catalog + JSON registry + collections); no installable manifest of its own.,"Curated, machine-readable DSH plugin directory: auto-discovery, evidence grading, scenario collections, and a plugins.json registry.",,MIT,low,Static index/registry; local update script calls the GitHub API (optional GITHUB_TOKEN).,ecosystem,"README (HEAD): describes npx @deepseek-ai/dsh plugin --profile web add as the suggested command for indexed projects, but repo itself has no dsh field; package.json (HEAD): only update/validate/test scripts, no dsh.bundle/dsh field.",2026-08-14
william-jin-cmu/dsh-companion,watchlist,DSH-related but not a loadable plugin — a standalone macOS Tauri desktop companion app that drives a headless dsh web host and ships an internal dsh-bridge cordis plugin; no dsh plugin add load path.,"Cetus DSH desktop companion: global quick-launch, screenshot ask, quick reply, cron automations, file delivery, screen context, and plugin management over a headless dsh web host.",,MIT,high,"Native desktop app: screen capture, Apple Vision OCR local indexing, quick-reply reads foreground app/selection, cron automations, file delivery; drives headless dsh web (token-authed local bridge).",session_chat,"README (HEAD): run via pnpm/cargo (Tauri + Next.js), auto-mounts dsh-bridge and bundled plugins into ~/.dsh/config.yaml; package.json (HEAD): Next.js/Tauri app, no dsh.bundle/dsh field; no dsh plugin add command.",2026-08-14
YYTbit/dsh-plugin-cost-tracker,verified_plugin,README documents native install `dsh plugin --profile your-profile add dsh-plugin-cost-tracker` plus a cordis config block; identifiable token-cost function and MIT license.,"Tracks per-session token usage and cost, injects cost awareness into the system prompt, and provides a CLI cost estimator.",dsh plugin --profile your-profile add dsh-plugin-cost-tracker,MIT,low,"Reads local session token usage only; no network, API keys, or credentials.",diagnostics,"README (HEAD) with dsh plugin add command, cordis config yaml, CLI docs; license MIT.",2026-08-14
ZeroHackz/OpenFlowFrames,verified_plugin,README declares the repo is a DSH plugin bundle installable via `dsh plugin add github:ZeroHackz/OpenFlowFrames` exposing flowframes_probe/flowframes_interpolate tools.,RIFE video frame interpolation via two agent tools — probe and headlessly interpolate local videos or frame folders.,dsh plugin add github:ZeroHackz/OpenFlowFrames,GPL-3.0,medium,Executes bundled ffmpeg + rife-ncnn-vulkan binaries on local files; no network or credentials.,vision,README (HEAD) DeepSeek Harness Plugin section with dsh plugin add command and tool descriptions; repo metadata GPL-3.0.,2026-08-14
1690834643/dsh-usage-dashboard,verified_plugin,README documents `dsh plugin add dsh-usage-dashboard --profile web` and a cordis.patch.yml mount; identifiable balance/usage widget and MIT license.,Web sidebar widget showing DeepSeek API balance and today's spend by scanning local session logs and querying the balance API.,dsh plugin add dsh-usage-dashboard --profile web,MIT,medium,Reads local session logs ($DSH_HOME/sessions) and calls DeepSeek balance API via DEEPSEEK_API_KEY reference; key kept server-side.,diagnostics,"README (HEAD) with npm install command, cordis.patch.yml insert block, config table; license MIT.",2026-08-14
Andy8647/dsh-auto-approval,verified_plugin,README documents `dsh plugin --profile web add dsh-auto-approval` (plus client-half package); identifiable tool-call approval function and BSD-3-Clause license.,Automated tool-call approval: classifies each call allow/deny (L0 rules + L1 LLM) with an optional client status chip.,dsh plugin --profile web add dsh-auto-approval,BSD-3-Clause,high,"Governs shell/file tool calls; L1 LLM classifier receives tool-call parameters, so sensitive command text may reach the model.",automation,"README (HEAD) install section with dsh plugin add commands, demo, architecture; license BSD-3-Clause.",2026-08-14
btspoony/dsh-advisor,verified_plugin,README documents `dsh plugin --profile web add github:btspoony/dsh-advisor`; identifiable reviewer-model function and MIT license.,Passive second model that reviews each turn and injects severity-ranked advice (nit/concern/blocker) into the session.,dsh plugin --profile web add github:btspoony/dsh-advisor,MIT,medium,Sends transcript deltas to a separately configured LLM (provider+model required); secrets in the transcript can reach the reviewer model.,session_chat,"README (HEAD) install/config/usage sections with dsh plugin add, cordis.patch.yml config; license MIT.",2026-08-14
Buyi-wsgzg/dsh-sidechain,verified_plugin,README documents `dsh plugin --profile web add link:/path/to/dsh-sidechain` plus a cordis.patch.yml insert block; identifiable side-conversation function and BSD-3-Clause license.,Side conversations via /side and /btw that fork the session into subagents with a web side panel.,dsh plugin --profile web add link:/path/to/dsh-sidechain,BSD-3-Clause,medium,Forks subagents that execute tools under DSH sandbox permissions; read-only persona by default; side sessions isolated from main history.,session_chat,README (HEAD) install/uninstall with dsh plugin add/remove and cordis.patch.yml insert; license BSD-3-Clause.,2026-08-14
cendaifeng/dsh-learn-everything,verified_plugin,README documents a cordis.patch.yml mount (merge the repo's plugin row into the profile patch and declare the client bundle); identifiable Feynman-learning function and BSD-3-Clause license. No single exact dsh plugin add command is given.,Feynman learning mode (/learn) that teaches concepts via a teach tool and rich HTML cards.,,BSD-3-Clause,low,Prompt-section injection + teach tool + HTML cards sanitized with DOMPurify; no network or credentials beyond the model.,session_chat,README (HEAD) with cordis.patch.yml in repo structure and profile-patch mount instruction; license BSD-3-Clause.,2026-08-14
chen-001/dsh-chat-width,verified_plugin,README documents `dsh plugin install .` / `dsh plugin enable chen-001/dsh-chat-width` and a dsh.plugin.json manifest; identifiable width-resize function and BSD-3-Clause license.,"Client-side plugin to drag-resize the DSH Web message column width with presets, custom input, and localStorage persistence.",dsh plugin install .,BSD-3-Clause,low,"Browser-only CSS/DOM manipulation with localStorage persistence; no network, files, or credentials.",web_ui,README (HEAD) install section with dsh plugin install/enable commands and dsh.plugin.json mention; license BSD-3-Clause.,2026-08-14
dbydd/dsh-onlyne,verified_plugin,README documents `dsh plugin --profile web add dsh-onlyne` plus a cordis.patch.yml insert block; identifiable IM-gateway function and MIT license.,"IM gateway exposing Onlyne tools so a dsh agent can send/receive Telegram, Feishu, QQ and WeChat messages.",dsh plugin --profile web add dsh-onlyne,MIT,high,Runs a local IM daemon and sends/receives messages over IM channels using per-channel credentials/tokens; network + credential access.,communication,"README (HEAD) install section with dsh plugin add, cordis.patch.yml insert, tool list; license MIT.",2026-08-14
DDDFXYqiming/Agent_Extensions,verified_plugin,"Collection of DSH plugins (dsh-vision-skill, dsh-memory); sub-READMEs document `dsh plugin --profile web add <path>` bundle installs with self-contained cordis.patch.yml layers. MIT licensed.","Collection of DSH plugins: image vision analysis (7 tools) and cross-session long-term memory, plus general skills.",dsh plugin --profile web add <绝对路径>\dsh-plugins\dsh-vision-skill,MIT,medium,Vision plugin sends local image paths/content to an external multimodal API (MiniMax default) via VISION_API_KEY credential; memory plugin reads/writes local ~/.dsh/memory files.,vision,Top README (HEAD) plus dsh-plugins/dsh-vision-skill/README.md and dsh-plugins/dsh-memory/README.md with dsh plugin add commands and cordis.patch.yml bundles; MIT.,2026-08-14
drowned-fish1/deepseek-harness-skillx,verified_plugin,README documents `dsh plugin --profile web add github:drowned-fish1/deepseek-harness-skillx` (and remove); identifiable skill-discovery/audit function and MIT license.,"Security meta-plugin guiding safe discovery, auditing, and adoption of external Agent Skills with prompt-injection defense.",dsh plugin --profile web add github:drowned-fish1/deepseek-harness-skillx,MIT,medium,Searches and fetches external skill content read-only; does not execute scripts or install deps without user confirmation.,developer_tools,README (HEAD) DeepSeek Harness install section with dsh plugin add/remove commands; also ships SKILL.md for Codex; license MIT.,2026-08-14
Elaina-real/dsh-tiered-approval,verified_plugin,README documents `dsh plugin --profile web add dsh-tiered-approval` (npm and github) as a dsh.bundle; identifiable tiered auto-review function and MIT license.,Tiered auto-review: static deny rules + LLM reviewer + human fallback to auto-allow/deny tool calls.,dsh plugin --profile web add dsh-tiered-approval,MIT,high,Auto-allow/deny shell (pwsh/bash) calls; sends command parameters and the last user message to a configured LLM; author flags it as unaudited vibe-coded.,automation,"README (HEAD) install section with dsh plugin add (npm + github), dsh.bundle statement, config and data-flow sections; license MIT.",2026-08-14
01Virex/dsh-status-rotator,verified_plugin,Real dsh web plugin replacing the turn-status label; manual cordis.patch.yml install documented.,"Replaces the 'Deep diving…' turn-status line in dsh web with phase-aware, typewriter-animated rainbow text, rotatable and configurable via config.json (served by a node-half HTTP route /plugins/dsh-status-rotator/config.json) with localStorage overrides.",Copy repo dir to <profile>/node_modules/dsh-status-rotator/ and add `name: dsh-status-rotator` to the profile's cordis.patch.yml; restart dsh web,MIT,low,Local UI text change only; node half serves a config.json over a localhost HTTP route; no external calls.,web_ui,"README.md, package.json; install steps document cordis.patch.yml entry `name: dsh-status-rotator`; node half registers /plugins/dsh-status-rotator/config.json route",2026-08-14
0sour/dsh-plugins,watchlist,README-only placeholder repo for future dsh plugins; no package.json/dsh.bundle or plugin code yet (status checklist all unchecked).,,,Not found,,,,README.md only (tree=1); README describes planned dsh.bundle plugins installable via `dsh plugin --profile web add github:0sour/dsh-plugins#<sha>` but no manifest or plugin exists,2026-08-14
121103qwq/dsh-vision-sidecar,verified_plugin,Native dsh bundle adding a hosted vision model so text-only models get image understanding; official dsh plugin command documented.,"Adds deepseek-vision/deepseek-with-vision to the bundle so text-only models receive image understanding via a hosted vision sidecar; no-build ESM, durable session evidence.",dsh plugin --profile web add github:121103qwq/dsh-vision-sidecar#v0.1.3 (remove: dsh plugin --profile web remove dsh-vision-sidecar),MIT,medium,Sends image content to a hosted vision provider; uses OPENROUTER_API_KEY via env/credential reference (never a literal key in cordis.patch.yml); injects a model route into the bundle.,vision,"README.md, package.json, cordis.patch.yml (cordis=True); documented add/remove commands; pnpm test / pack:check",2026-08-14
1514100951/dsh-usage-footer,verified_plugin,Host+browser plugin pair for usage/cost display in dsh web; documented manual mount via cordis.patch.yml.,"Floating coin button showing account balance, peak/off-peak pricing, today/session cost & token estimates; adds a '用量与费用栏' toggle in Settings; day-reset local stats in localStorage.",Link/copy packages dsh-usage-status and dsh-client-ui-usage-footer into $DSH_HOME/profiles/node_modules/ and append `name: dsh-usage-status` + `name: dsh-client-ui-usage-footer` to profiles/web/cordis.patch.yml; restart dsh web,MIT,medium,Host plugin registers GET /usage-status querying the DeepSeek balance API with account scope; today/session token-cost stats kept in browser localStorage; no other external calls.,diagnostics,"README.md, package.json (two packages), install section with cordis.patch.yml entries and Windows junction example; lib/index.js host route + lib/client.js self-contained bundle",2026-08-14
1a125/dsh-mcp-manager,verified_plugin,Global MCP manager with documented dsh plugin install and cordis patch; manages host-level mcp-client config.,"Settings 'MCP 管理' page to centrally manage MCP services: writes host-level ~/.dsh/cordis.patch.yml mcp-client rows, enables/disables at runtime, registers mcp__<service>__<tool> tools via an MCP stdio bridge.","dsh plugin --profile web add ""github:1a125/dsh-mcp-manager#main"" (alternative: copy into ~/.dsh/profiles/web/node_modules/ + `name: 'dsh-mcp-manager'` in cordis.patch.yml)",MIT,medium,Starts/connects MCP stdio servers whose tools become callable from any session; reads/writes ~/.dsh/cordis.patch.yml host config; skips duplicate connections already loaded by the host.,developer_tools,"README.md, package.json, cordis.patch.yml (cordis=True); install commands; official github/mcp SDK stdio bridge + tool registry",2026-08-14
1HelloMan1/dsh-stats-dashboard,verified_plugin,"Real dsh bundle (dsh.bundle + dsh.client in package.json, cordis.patch.yml) with documented dsh plugin install; MIT declared in package.json.","Provider/model usage stats dashboard: response speed, call log, token totals, cache rate, cost estimates (built-in DeepSeek pricing), CSV export; driven by dsh-session-stats and dsh-token-meter projections.","dsh plugin --profile web add ""github:1HelloMan1/dsh-stats-dashboard#main"" (npm: dsh plugin --profile web add dsh-stats-dashboard)",MIT,medium,Reads local session logs and token-meter projections; embeds DeepSeek pricing for cost estimation; CSV export is local; no outbound API calls.,diagnostics,"README.md; package.json (dsh.bundle.patch→cordis.patch.yml, dsh.client manifest, license MIT); cordis.patch.yml in repo tree",2026-08-14
1while1/dsh-whale-subagent,watchlist,"Working host/client plugin for subagent cards, but loads only as a dynamic in-process Cordis plugin (cordis_define/cordis_run) — no package.json or cordis.patch.yml, and sprite.json is hardcoded to an absolute Windows path.",,,MIT,medium,Registers subagent_ex tool that spawns subagents with arbitrary provider/model and collects THINK/TODO/SPEAKS events; sprite.json hardcoded at D:/AI学习/deepseek插件/subagent和鲸鱼娘/sprite.json (broken on other machines).,web_ui,"README.md + fetched README: host.js, client.js, sprite.json, architecture.md, docs/; no package.json (pkgjson=False), no cordis.patch.yml (cordis=False)",2026-08-14
202411130091-coder/codex-dsh-bridge,rejected,Standalone Python CLI bridge + benchmark that dispatches frozen tasks to a DSH provider and collects results; not a DSH/Cordis plugin.,,,MIT,,,,"Fetched README.md: scripts/codex_dsh_bridge.py, docs/, examples/, benchmark/; default dry-run with explicit --execute; pkgjson=False, cordis=False",2026-08-14
202411130091-coder/dsh-chatgpt-subscription,rejected,Windows deployment recipe (PowerShell launcher/services) connecting a ChatGPT subscription to DSH via a local gateway; not a DSH plugin.,,,MIT,,,,"README.md + services.ps1 (digest): deployment recipe only, cross-links codex-dsh-bridge; no package.json/cordis/dsh manifest (pkgjson=False, cordis=False)",2026-08-14
202411130091-coder/dsh-scholar,verified_plugin,Native dsh tool plugin (cordis patch) adding research tools; documented `dsh plugin add dsh-scholar`.,"Three agent tools: arXiv search, HTML/PDF text extraction with optional proxy, OpenAlex journal lookup; fills the web_fetch gap (PDF support + proxy).",dsh plugin add dsh-scholar (auto-inserts a host composition row; optional proxy via the `scholar` row config in profile cordis.patch.yml),MIT,medium,"External API calls (arXiv/OpenAlex) and PDF/HTML fetches (optional proxy) when the agent triggers the tools; pure ESM, no build, registration aligned with @deepseek-ai/dsh-tool-web.",search_browser,"README.md, package.json, cordis.patch.yml (cordis=True); install + proxy config documentation",2026-08-14
2031814001yuyue-tech/dsh-side-chat,verified_plugin,Dual-load (dynamic cordis / npm) parallel side-chat plugin with dsh.client manifest and documented cordis.patch.yml entry.,"Runs real parallel agent sessions in a side panel (independent context, shared workspace) and brings a summary back into the main conversation without polluting its context; auto-filters system-injected messages.",Option A dynamic cordis (cordis_define/cordis_run in session) or Option B: npm install dsh-side-chat + `name: dsh-side-chat` in profiles/web/cordis.patch.yml,MIT,medium,Host half bridges RPC to /sidechat-api/* HTTP routes and spawns parallel agent sessions sharing the workspace; client half loaded via window.__DSH_BOOT__ from /plugins/dsh-side-chat/client.js.,session_chat,"README.md, package.json (dsh.client manifest, license MIT), lib/ build output; mechanism section describes client-modules + host RPC bridge",2026-08-14
2303572348/deepseek-harness-memory,verified_plugin,Real dsh bundle (dsh.bundle declared) for persistent memory with documented `dsh plugin --profile web add .` install.,Claude Code-style cross-session long-term memory: persists memory to disk and auto-injects it at session start; alias/path mapping config in profile cordis.patch.yml.,cd repo && dsh plugin --profile web add . (update: dsh plugin --profile web update deepseek-harness-memory; no-pnpm fallback: copy to ~/.dsh/profiles/node_modules/ + `name: 'deepseek-harness-memory'` in cordis.patch.yml),MIT,medium,Reads/writes a local memory store (zero runtime deps besides node:fs/path/crypto); memory content auto-injected into the model context at session start.,memory_persona,"README.md, package.json (dsh.bundle), cordis.patch.yml (cordis=True); lib/index.js depends on @deepseek-ai/dsh-tools + @deepseek-ai/schemastery",2026-08-14
237229953-create/dsh-vision,verified_plugin,"Native bundle wiring a vision model for text-only models, with documented link install and official settings seam.","Automatically routes images to a vision model when the active model is text-only (e.g. DeepSeek-V4); uses the official settings seam (settings.yaml dsh-vision section), cache-friendly, leaves human transcript untouched; no-op when the model natively supports images.",dsh plugin --profile web add link:D:/dsh-plugins/dsh-vision (or via Settings→插件 extra-plugins card; config in settings.yaml / bundle cordis.patch.yml),MIT,medium,Sends image data to an external vision model API when the active model lacks vision; config persisted in settings.yaml via the official settings channel.,vision,"README.md, package.json, cordis.patch.yml (cordis=True); settings seam + extra-plugins card documentation",2026-08-14
2436238575/dsh-turn-diff,verified_plugin,"Real dsh bundle (dsh.bundle + dsh.client, cordis.patch.yml, client/server halves) with documented build+link install; MIT in package.json.","At each turn's end, aggregates all file-modification diffs from tool diff render intents into one merged panel (complements ui-deliverables), so all hunks are viewable per file in one place.",git clone; add dsh-turn-diff to <harness>/pnpm-workspace.yaml; pnpm install --no-frozen-lockfile; pnpm --filter dsh-turn-diff run build; dsh plugin --profile web add link:$(pwd)/dsh-turn-diff (or npm: dsh plugin --profile web add dsh-turn-diff; remove: dsh plugin --profile web remove dsh-turn-diff),MIT,low,Reads tool diff render intents from session events and displays merged hunks in a web panel; no external calls; requires DSH >= 0.1.0-rc.5.,developer_tools,"README.md, package.json (license MIT, dsh.bundle.patch, dsh.client), cordis.patch.yml (cordis=True), lib/index.js (0.4 KB) + lib/client.js (12.4 KB)",2026-08-14
318197375/dsh-bottom-stats,verified_plugin,Real dsh bundle (cordis.patch.yml) adding a bottom stats strip; documented dsh plugin command.,Full-width conversation stats line without truncation plus a context occupancy progress bar under the input box in dsh web.,npx -p @deepseek-ai/dsh dsh plugin --profile web add github:318197375/dsh-bottom-stats (restart web profile; remove: dsh plugin --profile web remove dsh-bottom-stats),MIT,low,Renders existing conversation stats locally in the UI; no external calls or elevated access.,web_ui,"README.md, package.json, cordis.patch.yml (cordis=True); effect.png screenshot; restart requirement documented",2026-08-14
54xuu/my-dsh,rejected,"Personal notes repo documenting tools/scripts written for dsh (e.g., Windows scheduled task / systemd autostart launcher for dsh web); not a loadable DSH plugin.",,,MIT,,,,"README.md (tree=5): notes table for v20260814-dsh-windows-service; PowerShell launcher scripts; no package.json/cordis manifest (pkgjson=False, cordis=False)",2026-08-14
95384/DSH-user-plugin-list,verified_plugin,"Real dsh bundle (dsh.bundle declared, cordis.patch.yml bundle entry) adding a user-plugins tab; documented install.","Adds a '用户插件' tab in Settings→插件 listing non-system plugins from the loader tree (profile-local, external-path, enabled/disabled) with search/status/collapse interaction; classifies via Node resolve + realpath and excludes transitive deps.",dsh plugin --profile web add github:95384/DSH-user-plugin-list (or local: git clone && dsh plugin --profile web add .; update: dsh plugin --profile web update user-plugin-list; remove: dsh plugin --profile web remove user-plugin-list),MIT,low,Reads local loader tree / Node module resolution paths only; pure display in the settings UI; no external calls.,plugin_diagnostics,"README.md, package.json (dsh.bundle), cordis.patch.yml (declares bundle entry), lib/classify.js logic described",2026-08-14
a903067276-rgb/dsh-hud,verified_plugin,Official-styled bundle plugin (dsh.bundle + dsh.client) with documented dsh plugin command and cordis.patch.yml mount.,"Floating HUD panel in dsh web: git status, MCP servers, skills, model & token usage; host routes /api/dsh-hud and /api/dsh-hud/diff; zero dependencies, no build step.","dsh plugin --profile web add ""github:a903067276-rgb/dsh-hud#main"" (restart dsh web; alternative manual double-mount in docs/install.md — use either, never both)",MIT,low,"Host exposes API routes serving local git/MCP/skills/model state and per-file diff; data stays local, no external calls.",web_ui,"README.md, package.json (dsh.bundle + dsh.client), cordis.patch.yml, lib/index.js + lib/client.js (hand-written __ModuleLoader__.load bundle), examples/, docs/install.md",2026-08-14
acefun29/dsh-file-mount,verified_plugin,"Substantial native bundle (dsh.bundle.patch + dsh.client, cordis.patch.yml, 74 vitest tests) with documented install.","Incremental file mounting into model context with repeat-read dedup: tracks which line ranges per file are already in context, re-reads only missing parts, invalidates on disk change/compaction; '挂载文件' tab shows the ledger and session token savings.",npx @deepseek-ai/dsh plugin --profile web add github:acefun29/dsh-file-mount (or file:../dsh-file-mount; GitHub installs need prepare-build allowance in the profile pnpm-workspace.yaml),MIT,medium,Reads file contents from disk and injects them into model context; hooks tools/post-execute and checkpoint events; ported from pi-mono context-mount.,context_management,"README.md, package.json (dsh.bundle.patch, dsh.client), cordis.patch.yml, 74 vitest cases, lib/ outputs; requires DSH 0.1.0-rc.5+",2026-08-14
acosmi/dsh-plugin,verified_plugin,"Community collection of three real loadable plugins (session-supervisor, dream-reflection, browser-automation), each an independent package with tests; the repo itself is a collection.","Hosts three DSH plugins: dsh-session-supervisor (persistent budgeted session lifecycle supervision), dsh-dream-reflection (periodic bounded reflection cards with human /dream approve gate), dsh-browser-automation (real-Chrome automation, rc.1).","Per-plugin, e.g. cd plugins/dsh-session-supervisor && pnpm install && pnpm run build, then dsh plugin --profile <name> add <tarball|npm>; see each plugin's README",MIT,medium,Contains dsh-browser-automation (real Chrome control — high risk if enabled); dream-reflection runs bounded reflection on top-level sessions; supervisor is observe/notify only. Install and enable per-plugin.,ecosystem,"README.md plugin table, cordis.patch.yml present, plugins/ dir (plugin_dir=True) with per-plugin README/package/tests; compatibility baseline npm-pinned @deepseek-ai/dsh-* 0.1.0-rc.6",2026-08-14
acosmi/dsh-session-supervisor,verified_plugin,"Real bundle (cordis.patch.yml, package.json, builds) with documented tarball/npm install.","Durable, budgeted lifecycle supervisor for live dsh sessions: scheduled evaluation driving an incident state machine, budget ledger, and persistent receipts; observes/notifies only, never auto-cancels.",dsh plugin --profile <name> add <预构建.tgz> or dsh plugin --profile <name> add @<publisher>/dsh-session-supervisor@0.1.0-beta.1,MIT,low,"Only observes session lifecycle facts and notifies; no shell, no network requests, no tool retry/cancel, no session-log writes; state in its own store.",session_diagnostics,"README.md, package.json, cordis.patch.yml (bundle row, whole-object profile override), docs/compatibility.md; hard limits documented",2026-08-14
Aeanfx/dsh-plugin-dated-folders,verified_plugin,Published npm DSH plugin using the systemPrompt service (same mechanism as dsh-plan-mode/persona); install via dsh plugin add + composition row.,"Auto-archives every file the agent generates into a YYYY-MM-DD_<topic> folder — one folder per day, zero clutter.","dsh plugin --profile web add dsh-plugin-dated-folders, plus add `name: dsh-plugin-dated-folders` to the agent preset's agent.cordis.yml (or profile cordis.patch.yml)",MIT,medium,Moves/archives files on the workspace disk; injects system-prompt instructions via the systemPrompt service; peer deps @deepseek-ai/cordis + zod.,automation,"README.md, package.json (npm pkg, systemPrompt mechanism, install/composition rows); badges npm version/license",2026-08-14
agent-plaza/agent-plaza,verified_plugin,Ships a DSH tool bundle (cordis patch + dsh plugin command) plus an Agent Skill; the DSH integration is native and documented.,Zero-signup public commons for AI agents: exposes plaza_list_posts / plaza_create_post / identity / flowers HTTP tools to the dsh model; also ships skills/agent-plaza SKILL.md for Codex/Cursor/Claude Code/Hermes.,npx -y @deepseek-ai/dsh plugin --profile web add github:agent-plaza/agent-plaza (or `add .` in checkout); skill: npx skills add agent-plaza/agent-plaza --skill agent-plaza -g -y,MIT,medium,Posts/replies flow to the public agent-plaza workers.dev API; name_credential stored in ~/.agent-plaza/identity.json and never returned to the model; identity set via plaza_set_identity.,communication,"README.md, package.json, cordis.patch.yml (cordis=True), skills/agent-plaza/SKILL.md (skill=True), openapi.yaml",2026-08-14
agentic-control-plane/dsh-acp-plugin,verified_plugin,Native Cordis plugin on typed interception points with documented dsh plugin install and policy gating.,"Agentic Control Plane for dsh: policy-checks every tool call before it runs and records every allow/block/ask decision; agentTier configurable (interactive/background, headless resolves ask→deny).",dsh plugin --profile <your-profile> add dsh-plugin-acp (or dsh plugin add github:agentic-control-plane/dsh-acp-plugin; override the row in profile cordis.patch.yml),MIT,medium,"Intercepts and records all tool-call decisions against policies; no build step, no dependencies, plain ESM; no external calls; unattended runs cannot self-approve.",security_audit,"README.md, package.json, cordis.patch.yml (cordis=True); interception-point registration and agentTier documented",2026-08-14
Aidenwu0209/dsh-PaddleOCR-Skills,verified_plugin,"Native dsh bundle with two tools, two skills, settings GUI, and documented dsh plugin command; Apache-2.0.","OCR for dsh: two native PaddleOCR tools, two skills, and a Settings→PaddleOCR GUI; auditable raw JSON results under .dsh-paddleocr/results/.","npx @deepseek-ai/dsh plugin --profile web add ""github:Aidenwu0209/dsh-PaddleOCR-Skills#main"" (needs Node 22.19+, DeepSeek Harness, Python 3.9+, uv)",Apache-2.0,medium,Runs PaddleOCR via Python/uv subprocess on local images; writes result JSON locally; no hardcoded keys or external API.,vision,"README.md, package.json, cordis.patch.yml (cordis=True), skills/ dir (skill=True); pnpm check + python3 -m compileall checks",2026-08-14
AIMFllyYS/dsh-operating-context,verified_plugin,Real bundle (cordis.patch.yml) with documented official install; settings-based context cap without patch row replacement.,"Settings page capping every configured model to a working context window clamped to what it can actually hold; applied via settings.mutate in the user layer (preserves keys/endpoints, no second compaction engine).",npx @deepseek-ai/dsh plugin --profile web add github:AIMFllyYS/dsh-operating-context#v0.1.0 (or #<sha>; from checkout: pnpm dsh plugin --profile web add .; remove: dsh plugin --profile web remove dsh-operating-context),MIT,low,Mutates settings.yaml via settings.mutate only; does not patch adapter config; no external calls.,context_management,"README.md, package.json, cordis.patch.yml (cordis=True); pnpm bundle/typecheck/test scripts; compatibility baseline reviewed against 0.1.0-rc.5",2026-08-14
akira399/dsh-godot-skill,verified_plugin,Host plugin bundle registering a runtime skill; documented dsh plugin command and explicit skill path.,Registers the bundled godot-4-development skill at runtime — any session can load it via the skill tool for full Godot 4.x planning/building/coding/debugging/optimization/export workflows.,npx -p @deepseek-ai/dsh dsh plugin --profile web add github:akira399/dsh-godot-skill (restart dsh web),MIT,low,"Reads the bundled SKILL.md and registers it into the session skill catalog; no elevated permissions, no external calls.",skills,"README.md, package.json (dsh.bundle.patch → cordis.patch.yml), cordis.patch.yml, lib/index.js, .dsh/skills/godot-4-development/SKILL.md; pnpm verify includes mock-ctx runtime registration assertions",2026-08-14
